company,latest_exit_date,deal_type,hq_location
HomeToGo (FRA: HTG),21-Sep-2021,Reverse Merger,"""Berlin, Germany"""
Horizon Aircraft (NAS: HOVR),28-May-2021,Merger/Acquisition,"""Lindsay, Canada"""
Humacyte Global (NAS: HUMA),26-Aug-2021,Reverse Merger,"""Durham, NC"""
Huuuge (WAR: HUG),19-Feb-2021,IPO,"""Dover, DE"""
Hybrid Power Solutions (CNQ: HPSS),01-Dec-2023,IPO,"""Etobicoke, Canada"""
Hydralyte (ASX: HPC),14-Dec-2021,IPO,"""La Jolla, CA"""
Hyperfine (NAS: HYPR),22-Dec-2021,Reverse Merger,"""Guilford, CT"""
Ibotta (NYS: IBTA),18-Apr-2024,IPO,"""Denver, CO"""
IKS Health (NSE: IKS),19-Dec-2024,IPO,"""Coppell, TX"""
ImageneBio (NAS: IMA),25-Jul-2025,Reverse Merger,"""San Diego, CA"""
Imeon Energy (PAR: MLIME),09-Aug-2024,IPO,"""Brest, France"""
Immix Biopharma (NAS: IMMX),16-Dec-2021,IPO,"""Los Angeles, CA"""
Immuneering (NAS: IMRX),30-Jul-2021,IPO,"""Cambridge, MA"""
ImmunityBio (NAS: IBRX),08-Mar-2021,Reverse Merger,"""San Diego, CA"""
Implanet (PAR: ALIMP),02-Feb-2024,Merger/Acquisition,"""Martillac, France"""
IN8bio (NAS: INAB),30-Jul-2021,IPO,"""New York, NY"""
Incuvo (WAR: IVO),13-Jan-2021,IPO,"""Katowice, Poland"""
Innovative Eyewear (NAS: LUCY),15-Aug-2022,IPO,"""Miami, FL"""
Inspire Veterinary Partners (PINX: IVPR),30-Aug-2023,IPO,"""Virginia Beach, VA"""
Instacart (NAS: CART),19-Sep-2023,IPO,"""San Francisco, CA"""
Instil Bio (NAS: TIL),19-Mar-2021,IPO,"""Dallas, TX"""
Integral Acquisition Corporation 1 (PINX: INTE),03-Nov-2021,IPO,"""New York, NY"""
Intuitive Machines (NAS: LUNR),08-Feb-2023,Reverse Merger,"""Houston, TX"""
Invivyd (NAS: IVVD),06-Aug-2021,IPO,"""New Haven, CT"""
IO Biotech (NAS: IOBT),05-Nov-2021,IPO,"""Copenhagen, Denmark"""
IonQ (NYS: IONQ),28-Sep-2021,Reverse Merger,"""College Park, MD"""
IP Strategy (NAS: IPST),22-Nov-2024,IPO,"""Gig Harbor, WA"""
iSpecimen (NAS: ISPC),17-Jun-2021,IPO,"""Woburn, MA"""
Ivanhoe Electric (ASE: IE),28-Jun-2022,IPO,"""Tempe, AZ"""
Janux Therapeutics (NAS: JANX),11-Jun-2021,IPO,"""San Diego, CA"""
Jasper Therapeutics (NAS: JSPR),24-Sep-2021,Reverse Merger,"""Redwood City, CA"""
Jet.AI (NAS: JTAI),10-Aug-2023,Reverse Merger,"""Las Vegas, NV"""
JetLend (MISX: JETL),25-Mar-2025,IPO,"""Skolkovo, Russia"""
Joby Aviation (NYS: JOBY),10-Aug-2021,Reverse Merger,"""Santa Cruz, CA"""
Journey Medical (NAS: DERM),12-Nov-2021,IPO,"""Scottsdale, AZ"""
Jupiter Neurosciences (NAS: JUNS),03-Dec-2024,IPO,"""Palm Beach Gardens, FL"""
Kairos Pharma (ASE: KAPA),16-Sep-2024,IPO,"""Los Angeles, CA"""
KBJ (WAR: KBJ),28-Jun-2024,Merger/Acquisition,"""Warsaw, Poland"""
