company,latest_exit_date,deal_type,hq_location
Atlanta Micro,29-Nov-2021,Merger/Acquisition,"""Norcross, GA"""
Atom Power,04-Aug-2022,Merger/Acquisition,"""Huntersville, NC"""
Atomic Alchemy,28-Feb-2025,Merger/Acquisition,"""Idaho Falls, ID"""
Atreus,01-Feb-2023,Merger/Acquisition,"""Munich, Germany"""
Atrin Pharmaceuticals,16-May-2022,Merger/Acquisition,"""Doylestown, PA"""
atSpoke,02-Aug-2021,Merger/Acquisition,"""San Francisco, CA"""
Attivo Networks,02-May-2022,Merger/Acquisition,"""Fremont, CA"""
Attune Medical,01-Apr-2024,Merger/Acquisition,"""Chicago, IL"""
Audigent,04-Dec-2024,Merger/Acquisition,"""New York, NY"""
Augmenta,13-Mar-2023,Merger/Acquisition,"""Paris, France"""
Augmented Pixels,13-Jan-2022,Merger/Acquisition,"""Palo Alto, CA"""
Auth0,03-May-2021,Merger/Acquisition,"""Bellevue, WA"""
Autifony Therapeutics,14-Nov-2023,Merger/Acquisition,"""Stevenage, United Kingdom"""
AUTO1 Group (FRA: AG1),04-Feb-2021,IPO,"""Berlin, Germany"""
AutoNation Mobile Service,26-Jan-2023,Merger/Acquisition,"""Fort Lauderdale, FL"""
AV Cannabis,01-Apr-2021,Merger/Acquisition,"""Toronto, Canada"""
Ava Security,03-Mar-2022,Merger/Acquisition,"""London, United Kingdom"""
Avafin,11-Nov-2024,Merger/Acquisition,"""Limassol, Cyprus"""
AvaLAN Wireless,19-Apr-2021,Merger/Acquisition,"""Madison, AL"""
Avalun,30-Apr-2021,Merger/Acquisition,"""Grenoble, France"""
AVEO Oncology,19-Jan-2023,Merger/Acquisition,"""Boston, MA"""
Avinode,22-Mar-2024,Merger/Acquisition,"""Gothenburg, Sweden"""
Avitide,30-Sep-2021,Merger/Acquisition,"""Lebanon, NH"""
Aviva Links,24-Oct-2025,Merger/Acquisition,"""San Jose, CA"""
Aviwest,01-Apr-2022,Merger/Acquisition,"""Saint Gr�goire Cedex, France"""
Awakn Life Sciences,27-May-2025,Merger/Acquisition,"""Toronto, Canada"""
Awashop,05-May-2022,Merger/Acquisition,"""Montpellier, France"""
Axign,03-Jan-2024,Merger/Acquisition,"""Enschede, Netherlands"""
Axil (Acquired / merged),16-Jun-2022,Merger/Acquisition,"""American Fork, UT"""
Axios,08-Aug-2022,Merger/Acquisition,"""Arlington, VA"""
Axis Security,15-Mar-2023,Merger/Acquisition,"""Plano, TX"""
Axon Clinic,04-Oct-2021,Merger/Acquisition,"""Oslo, Norway"""
