company,latest_exit_date,deal_type,hq_location,founding_date,date_basis,source,confidence,status,time_to_exit_years,recommendation,review_reason,matched_name,url,notes
Wealthfront (NAS: WLTH),12-Dec-2025,IPO,"""Palo Alto, CA""",2008,operating_founding,Wikidata,HIGH,LIKELY_MATCH,17.95,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=united states; aliases=Wealthfront Corporation; desc=automated investment service firm
Yardbarker,26-Jul-2021,Merger/Acquisition,"""Burlingame, CA""",2006,operating_founding,Wikidata,HIGH,LIKELY_MATCH,15.56,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=united states; aliases=yardbarker.com|yardbarker; desc=American sports news website
Yubico (STO: YUBICO),20-Sep-2023,Reverse Merger,"""Stockholm, Sweden""",2007,operating_founding,Wikidata,HIGH,LIKELY_MATCH,16.72,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=sweden; aliases=Yubico AB; desc=Swedish manufacturer of hardware authentication devices
60 Degrees Pharma (NAS: SXTP),13-Jul-2023,IPO,"""Washington, DC""",2022-06-01,legal_incorporation,SEC filing,HIGH,SEC_MATCH,1.11,REVIEW,Very short legal age may be issuer/reorg incorporation,"60 DEGREES PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/1946563/000155485526000467/sxtp-20251231.htm,"Extracted from filing text: incorporated on June 1, 2022"
89bio,30-Oct-2025,Merger/Acquisition,"""San Francisco, CA""",2018-01,operating_founding,Wikidata,MEDIUM,REVIEW,7.83,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states
ACV Auctions (NYS: ACVA),24-Mar-2021,IPO,"""Buffalo, NY""",2014-12,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,6.31,REVIEW,Legal incorporation needs operating-company review,ACV Auctions Inc.,https://www.sec.gov/Archives/edgar/data/1637873/000163787326000011/acva-20251231.htm,Extracted from filing text: incorporated in Delaware in December 2014
ADx NeuroSciences,08-Aug-2022,Merger/Acquisition,"""Ghent, Belgium""",2011,operating_founding,Wikidata,MEDIUM,REVIEW,11.60,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=belgium; desc=company in Ghent, Belgium"
AEye (NAS: LIDR),18-Aug-2021,Reverse Merger,"""Pleasanton, CA""",2013,operating_founding,SEC filing,LOW,SEC_MATCH,8.63,REVIEW,Needs manual basis review,"AEye, Inc.",https://www.sec.gov/Archives/edgar/data/1818644/000143774926008858/lidr20251231_10k.htm,Extracted from filing text: founded in 2013
AMTD Digital (NYS: HKD),15-Jul-2022,IPO,"""Paris, France""",2019-09,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,2.87,REVIEW,Very short legal age may be issuer/reorg incorporation,AMTD Digital Inc.,https://www.sec.gov/Archives/edgar/data/1809691/000121390026021555/ea0276786-20f_amtd.htm,Extracted from filing text: incorporated in September 2019
APEIRON Biologics,15-Jul-2024,Merger/Acquisition,"""Vienna, Austria""",2003,operating_founding,Wikidata,LOW,REVIEW,21.54,REVIEW,Needs manual basis review,,,"hq=austria; desc=company in Vienna, Austria"
ARS Pharmaceuticals (NAS: SPRY),08-Nov-2022,Reverse Merger,"""San Diego, CA""",2016-01,legal_incorporation,SEC filing,MEDIUM_HIGH,SEC_MATCH,6.85,REVIEW,Legal incorporation needs operating-company review,"ARS Pharmaceuticals, Inc.",https://www.sec.gov/Archives/edgar/data/1671858/000119312526097478/spry-20251231.htm,Extracted from filing text: incorporated in Delaware in January 2016
AUTO1 Group (FRA: AG1),04-Feb-2021,IPO,"""Berlin, Germany""",2012,operating_founding,Wikidata,MEDIUM,REVIEW,9.10,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=germany; aliases=AUTO1 Group GmbH|Auto1 Group SE
Acacia Communications,01-Mar-2021,Merger/Acquisition,"""Maynard, MA""",2009,operating_founding,Wikidata,LOW,REVIEW,12.16,REVIEW,Needs manual basis review,,,"hq=united states; aliases=ACACIA COMMUNICATIONS, INC.  (Maynard, MA)"
Acacia Pharma,09-Jun-2022,Merger/Acquisition,"""Cambridge, United Kingdom""",2007,operating_founding,Wikidata,LOW,REVIEW,15.44,REVIEW,Needs manual basis review,,,"hq=united kingdom; desc=company in Cambridge, United Kingdom"
Acceleron Pharma,19-Nov-2021,Merger/Acquisition,"""Cambridge, MA""",2003,operating_founding,Wikidata,MEDIUM,REVIEW,18.88,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=Acceleron Pharma (United States); desc=company in Cambridge, United States"
Actuate Therapeutics (NAS: ACTU),12-Aug-2024,IPO,"""Fort Worth, TX""",2015-01-16,legal_incorporation,SEC filing,HIGH,SEC_MATCH,9.57,REVIEW,Legal incorporation needs operating-company review,"ACTUATE THERAPEUTICS, INC.",https://www.sec.gov/Archives/edgar/data/1652935/000168316826002257/actuate_i10k-123125.htm,"Extracted from filing text: incorporated in the State of Delaware on January 16, 2015"
Advent Technologies Holdings (PINX: ADNH),04-Feb-2021,Reverse Merger,"""Livermore, CA""",2022-01-04,operating_founding,Wikidata,MEDIUM,REVIEW,,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states
Aerostrat,12-Aug-2025,Merger/Acquisition,"""Seattle, WA""",2012-11,operating_founding,Wikidata,LOW,REVIEW,12.78,REVIEW,Needs manual basis review,,,hq=united states
Aeva Technologies (NAS: AEVA),11-Mar-2021,Reverse Merger,"""Mountain View, CA""",2017,operating_founding,SEC filing,LOW,SEC_MATCH,4.19,REVIEW,Needs manual basis review,"Aeva Technologies, Inc.",https://www.sec.gov/Archives/edgar/data/1789029/000119312526116518/aeva-20251231.htm,Extracted from filing text: Founded in 2017
