company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,date_basis,source,confidence,score,status,wikidata_id,wikidata_label,notes
Lyell Immunopharma (NAS: LYEL),17-Jun-2021,IPO,"""South San Francisco, CA""",lyell immunopharma,2018,operating_founding,Wikidata,LOW,45,REVIEW,Q106411716,Lyell Immunopharma (United States),"hq=united states; desc=company in South San Francisco, United States"
LYF Edibles,05-Mar-2021,Merger/Acquisition,"""Kelowna, Canada""",lyf edibles,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lympo,01-Jan-2021,Merger/Acquisition,"""Vilnius, Lithuania""",lympo,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lyst,09-Apr-2025,Merger/Acquisition,"""London, United Kingdom""",lyst,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lytix Biopharma (OSL: LYTIX),14-Jun-2021,IPO,"""Oslo, Norway""",lytix biopharma,2003,operating_founding,Wikidata,LOW,45,REVIEW,Q30259472,Lytix Biopharma (Norway),"hq=norway; desc=company in Tromsø, Norway"
MaaT Pharma (PAR: MAAT),08-Nov-2021,IPO,"""Lyon, France""",maat pharma,2014-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q139974036,MaaT Pharma,hq=france; desc=French biotechnology company
Mablink,01-Dec-2023,Merger/Acquisition,"""Lyon, France""",mablink,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Mabrian,22-Nov-2023,Merger/Acquisition,"""Menorca, Spain""",mabrian,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Machinery Analytics,05-Jul-2023,Merger/Acquisition,"""Vancouver, Canada""",machinery analytics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Maddox Defense,31-Oct-2023,Merger/Acquisition,"""San Diego, CA""",maddox defense,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Made Scientific,19-Apr-2022,Merger/Acquisition,"""Princeton, NJ""",made scientific,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Maestro Health,01-Nov-2022,Merger/Acquisition,"""Chicago, IL""",maestro health,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Magenta Therapeutics,11-Sep-2023,Merger/Acquisition,"""Cambridge, MA""",magenta therapeutics,,,Wikidata,NONE,70,NO_MATCH,Q99744291,Magenta Therapeutics,hq=united states; desc=Biotechnology company
Magic Fuel Games,06-Jun-2022,Merger/Acquisition,"""Pleasanton, CA""",magic fuel games,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
MagicMed Industries,16-Sep-2021,Merger/Acquisition,"""Calgary, Canada""",magicmed industries,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
MAGnetIC (Electronic Equipment and Instruments),06-May-2024,Merger/Acquisition,"""Delft, Netherlands""",magnetic (electronic equipment and instruments),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Magnopus,01-Sep-2021,Merger/Acquisition,"""Los Angeles, CA""",magnopus,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Magseis Fairfield,11-Oct-2022,Merger/Acquisition,"""Oslo, Norway""",magseis fairfield,,,Wikidata,NONE,45,NO_MATCH,Q115167436,MAGSEIS FAIRFIELD ASA,hq=norway
MAIA Biotechnology (ASE: MAIA),28-Jul-2022,IPO,"""Chicago, IL""",maia biotechnology,,,Wikidata,NONE,70,NO_MATCH,Q126901521,Maia Biotechnology,"hq=united states; desc=Biotechnology company in Chicago, IL."
MailerLite,26-Apr-2022,Merger/Acquisition,"""Dublin, Ireland""",mailerlite,2010-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q54860002,MailerLite,hq=ireland; desc=Email Marketing Service
Mainstream Renewable Power,11-May-2021,Merger/Acquisition,"""Dublin, Ireland""",mainstream renewable power,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Mainz Biomed (NAS: MYNZ),08-Nov-2021,IPO,"""Mainz, Germany""",mainz biomed,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
