order	company	size	category	hq	keywords	acquirer
478	Gretel	320.0	Enterprise Software	San Diego, CA	ai automation platform, application security, data building, data categorization, data cat	Nvidia (NAS: NVDA)(Jen-Hsun Huang)
479	Link3D	33.5	Enterprise Software	Boulder, CO	3d printing supply chain, additive manufacturer, additives manufacturing, additives manufa	Materialise (BRU: MTLS)(Wilfried Vancraen)
480	UntieNots	41.15	Enterprise Software	Paris, France	artificial intelligence, crm, customer promotional platform, customer promotional software	Eagle Eye Solutions Group (LON: EYE)(Timothy Mason)
481	Adyoulike	100.0	Enterprise Software	France	ad exchange platform, crm, customer relationship management, editorial content, illegible 	OpenWeb(Nadav Shoval)
482	Pulsic	59.87	Enterprise Software	Bristol, United Kingdom	automation software, complex analog tools, creative platform, custom design automation, de	Cadence Design Systems (NAS: CDNS)
483	Commotion	25.5	Enterprise Software	Los Angeles, CA	artificial intelligence company, artificial intelligence services, artificial intelligence	Tata Communications (BOM: 500483)
484	Brand24	10.71	Enterprise Software	Daytona Beach, FL	consumer ai, consumer artificial intelligence, digital footprint, internet monitoring, int	Prowly
485	Biim Ultrasound	11.65	Healthcare	Narvik, Norway	ultrasound device, ultrasound equipment, ultrasound imagery, ultrasound scanning, ultrasou	Observe Medical (OSL: OBSRV)(Bjorn Larsson)
486	FullCircl	142.4	Enterprise Software	Winnersh, United Kingdom	aml compliance, automated data, customer engagement service, customer onboarding service, 	nCino (NAS: NCNO)(Pierre Naud�)
487	ViriCiti	79.4	Enterprise Software	Amsterdam, Netherlands	connectivity & data management, enterprise asset management, enterprise resource planning,	ChargePoint (NYS: CHPT)(Pasquale Romano)
488	Returnly	285.95	Enterprise Software	San Francisco, CA	crm, customer relationship management, digital platform, digital platform developer, digit	Affirm (NAS: AFRM)(Max Levchin)
489	TwicPics	20.0	Enterprise Software	Paris, France	application program interface, image processing software, images quality tuning, images sn	Frontify
490	Talis Clinical	92.58	Healthcare	Streetsboro, OH	clinical guidance, clinical guidance provider, clinical guidance software, enterprise reso	Getinge (STO: GETI B)(Jens Viebke)
491	Lightstream	35.9	Enterprise Software	Chicago, IL	content services, gaming experience, kms, knowledge management system, live streaming, liv	Videndum (LON: VID)(Stephen Bird)
492	Peltarion	161.54	Devtools/DevOps	Stockholm, Sweden	ai cores, ai deployment solutions, ai development, ai development platform, ai development	King.com(Tjodolf Sommestad)
493	KPI Ninja	21.4	Healthcare	Lincoln, NE	directing primary care, health information exchange, healthcare analytics, healthcare anal	Health Catalyst (NAS: HCAT)(Daniel Burton)
494	Scibids Technology	121.37	Enterprise Software	Paris, France	crm, custom bidding model, customer relationship management, customized bidding, digital m	DoubleVerify (NYS: DV)(Mark Zagorski)
495	TalentSpace	24.21	Enterprise Software	Berlin, Germany	enterprise resource planning, erp, global recruiting, hiring platform, human capital manag	Handshake(Garrett Lord)
496	FanFix	65.0	Enterprise Software	Los Angeles, CA	brand management, content creation, content creator, content provider, content sharing pla	SuperOrdinary(Julian Reis)
497	PhenomeX	109.4	Healthcare	Emeryville, CA	antibody discovery, cell biology, cell line development, cell monitoring, cell therapy dev	Bruker (NAS: BRKR)(Mark Munch)
498	Methinks (Business/Productivity Software)	11.54	Enterprise Software	Mountain View, CA	application testing, customer feedback, enterprise resource planning, erp, human capital m	Nexon (Entertainment Software) (TKS: 3659)
499	Pack Health	125.0	Healthcare	Birmingham, AL	cancer care, chronic disease care, chronic disease management, health coaching, health coa	Quest Diagnostics (NYS: DGX)(Stephen Rusckowski)
500	Speechly	10.11	Enterprise Software	Helsinki, Finland	automatic speech recognition, content services, deep learning, developer tools, game devel	Roblox (NYS: RBLX)
501	Donde (Media and Information Services)	50.69	Enterprise Software	New York, NY	ecommerce personalization, fashion shopping site, merchandising platform, search enhanceme	Shopify (NAS: SHOP)
502	365Talents	54.6	Enterprise Software	Lyon, France	employee experience, enterprise resource planning, hr transformation, human capital manage	Docebo (TSE: DCBO)(Alessio Artuffo)
503	Protypia	10.86	Healthcare	Nashville, TN	autoimmune disease, covalent drugs, drugs target system, gene editing, oncology therapeuti	Inotiv (NAS: NOTV)(John Sagartz)
504	Bit Discovery	43.8	Enterprise Software	Santa Clara, CA	assets inventory, portfolio management, portfolio tracking, website discovery, website man	Tenable (NAS: TENB)(Glen Pendley)
505	Wiztivi	36.4	Devtools/DevOps	Carquefou, France	cloud gaming es, game developer tools, gaming development, live tv management, multiscreen	Lumine Group (TSX: LMN)(David Sharpley)
506	SafeBase	250.0	Devtools/DevOps	San Diego, CA	compliance information, questionnaire design, sales acceleration software, sales enablemen	Drata(Adam Markowitz)
507	Scalefast	190.0	Enterprise Software	El Segundo, CA	cloud-based billing, crm, customer relationship management, d2c branding, digital commerce	ESW(Tommy Kelly)
508	Oakland	12.23	Devtools/DevOps	Leeds, United Kingdom	artificial intelligence, business excellence, business intelligence analytics, cloud engin	Softcat (LON: SCT)(Graham Charlton)
509	C2i Genomics	100.2	Healthcare	New York, NY	abi custom application, analytics platform, cancer biology, cancer detection system, cance	Veracyte (NAS: VCYT)(Marc Stapley)
510	Shareablee	45.0	Enterprise Software	New York, NY	content platform, customer relationship management, marketing insights, marketing platform	Comscore (NAS: SCOR)
511	SwagUp	19.1	Enterprise Software	Piscataway, NJ	api platform integration, brand marketing, branding awareness, custom printing, inventory 	Bensussen Deutsch & Associates(Jay Deutsch)
