company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
AlterG,11-Aug-2023,Merger/Acquisition,"""Fremont, CA""",,,,
AltheaDx,26-Apr-2022,Merger/Acquisition,"""San Diego, CA""",,,,
Altiostar,04-Aug-2021,Merger/Acquisition,"""Tewksbury, MA""",,,,
Alto Neuroscience (NYS: ANRO),02-Feb-2024,IPO,"""Mountain View, CA""",,,,
Altus Copper,12-Jan-2022,IPO,"""New York, NY""",,,,
Alumis (NAS: ALMS),28-Jun-2024,IPO,"""South San Francisco, CA""",,,,
Alzamend Neuro (NAS: ALZN),15-Jun-2021,IPO,"""Atlanta, GA""",,,,
Amalto,06-Apr-2021,Merger/Acquisition,"""Houston, TX""",,,,
Ambia Solar,14-Nov-2025,Merger/Acquisition,"""Lindon, UT""",,,,
Ambiq (NYS: AMBQ),30-Jul-2025,IPO,"""Austin, TX""",,,,
American Backhoe Services & Excavating,20-Dec-2022,Merger/Acquisition,"""University Park, IL""",,,,
American Robotics,05-Aug-2021,Merger/Acquisition,"""Sparks, MD""",,,,
Amino,21-Apr-2021,Merger/Acquisition,"""New York, NY""",,,,
Amniotics,06-Jul-2021,IPO,"""Lund, Sweden""",,,,
Amobee,12-Sep-2022,Merger/Acquisition,"""Redwood City, CA""",,,,
Ampere Computing,26-Nov-2025,Merger/Acquisition,"""Santa Clara, CA""",,,,
Amprius Technologies (NYS: AMPX),14-Sep-2022,Reverse Merger,"""Fremont, CA""",,,,
Amryt Endo,05-Aug-2021,Merger/Acquisition,"""Needham, MA""",,,,
AMTD Digital (NYS: HKD),15-Jul-2022,IPO,"""Paris, France""",,,,
Amylyx Pharmaceuticals (NAS: AMLX),07-Jan-2022,IPO,"""Cambridge, MA""",,,,
AN2 Therapeutics (NAS: ANTX),25-Mar-2022,IPO,"""Menlo Park, CA""",,,,
Anchor Semiconductor,01-Jul-2021,Merger/Acquisition,"""Santa Clara, CA""",,,,
Anebulo Pharmaceuticals (NAS: ANEB),07-May-2021,IPO,"""Lakeway, TX""",,,,
Angel Studios (NYS: ANGX),10-Sep-2025,Reverse Merger,"""Provo, UT""",,,,
Angstrom Sports,17-Jun-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
AnHeart Therapeutics,09-Apr-2024,Merger/Acquisition,"""New York, NY""",,,,
Ante,04-Oct-2021,Merger/Acquisition,"""Copenhagen, Denmark""",,,,
Antev,29-Aug-2025,Merger/Acquisition,"""London, United Kingdom""",,,,
AntlerA,26-Jul-2024,Merger/Acquisition,"""Toronto, Canada""",,,,
Aparito,24-May-2024,Merger/Acquisition,"""Wrexham, United Kingdom""",,,,
ApcinteX,01-Jan-2021,Merger/Acquisition,"""London, United Kingdom""",,,,
APEIRON Biologics,15-Jul-2024,Merger/Acquisition,"""Vienna, Austria""",,,,
Apexigen,23-Aug-2023,Merger/Acquisition,"""San Carlos, CA""",,,,
APIOS,05-Jan-2021,Merger/Acquisition,"""Zagreb, Croatia""",,,,
Apogee Therapeutics (NAS: APGE),13-Jul-2023,IPO,"""Waltham, MA""",,,,
Apolicy,01-Jul-2021,Merger/Acquisition,"""Sunnyvale, CA""",,,,
